Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player College,Player Team,Conference,2016 Population Estimates (except where otherwise noted),State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace)
Beau Allen,#94,DT/RDT,26.0,327.0,4,Minnetonka,Minnesota,Wisconsin,Philadelphia,NFC,52369,27.0,0400000US27,44.912723,-93.499059
Steven Means,#51,DE/RDE,27.0,263.0,3,Buffalo,New York,Buffalo,Philadelphia,NFC,256902,36.0,0400000US36,42.886717,-78.878392
Alshon Jeffery,#17,WR,27.0,218.0,6,St. Matthews,South Carolina,South Carolina,Philadelphia,NFC,1997,45.0,0400000US45,33.664876,-80.777868
Stefen Wisniewski,#61,C/LOG,28.0,305.0,7,Pittsburgh,Pennsylvania,Penn State,Philadelphia,NFC,303625,42.0,0400000US42,40.441694,-79.990086
Jason Kelce,#62,C,30.0,295.0,7,Cleveland Heights,Ohio,Cincinnati,Philadelphia,NFC,44633,39.0,0400000US39,41.520052,-81.556235
Chris Long,#56,DE/LDE,32.0,270.0,10,Santa Monica,California,Virginia,Philadelphia,NFC,92478,6.0,0400000US06,34.01956,-118.486974
Mack Hollins,#10,WR,24.0,221.0,R,Rockville,Maryland,North Carolina,Philadelphia,NFC,66940,24.0,0400000US24,39.084005,-77.152757
Fletcher Cox,#91,DT/LDT,27.0,310.0,6,Yazoo City,Mississippi,Mississippi State,Philadelphia,NFC,11180,28.0,0400000US28,32.855133,-90.405647
Brent Celek,#87,TE,32.0,255.0,11,Cincinnati,Ohio,Cincinnati,Philadelphia,NFC,298800,39.0,0400000US39,39.101454,-84.51246
Carson Wentz,#11,QB,25.0,237.0,2,Raleigh,North Carolina,North Dakota State,Philadelphia,NFC,458880,37.0,0400000US37,35.780398,-78.639099
Zach Ertz,#86,TE,27.0,250.0,5,Orange,California,Stanford,Philadelphia,NFC,140504,6.0,0400000US06,33.750038,-117.870493
Brandon Brooks,#79,G/ROG,28.0,335.0,6,Milwaukee,Wisconsin,Miami (OH),Philadelphia,NFC,595047,55.0,0400000US55,43.034993,-87.922497
Bryan Braman,#50,LB/LLB,30.0,241.0,7,Spokane,Washington,West Texas A&M,Philadelphia,NFC,215973,53.0,0400000US53,47.65886,-117.424713
Nate Sudfeld,#7,QB,24.0,227.0,2,Modesto,California,Indiana,Philadelphia,NFC,212175,6.0,0400000US06,37.639097,-120.996878
Halapoulivaati Vaitai,#72,T/LOT,24.0,320.0,2,Haltom City,Texas,TCU,Philadelphia,NFC,44361,48.0,0400000US48,32.799574,-97.269182
Lane Johnson,#65,T/ROT,27.0,317.0,5,Groveton,Texas,Oklahoma,Philadelphia,NFC,1026,48.0,0400000US48,31.054907,-95.125769
Nick Foles,#9,QB,28.0,243.0,6,Austin,Texas,Arizona,Philadelphia,NFC,947890,48.0,0400000US48,30.271129,-97.743699
Will Beatty,#66,T/LOT,32.0,319.0,9,York,Pennsylvania,Connecticut,Philadelphia,NFC,43859,42.0,0400000US42,39.962398,-76.727392
Donnie Jones,#8,P/HLD,37.0,221.0,14,Baton Rouge,Louisiana,LSU,Philadelphia,NFC,227715,22.0,0400000US22,30.450746,-91.154551
Kamu Grugier-Hill,#54,LB/SPTM/RLB,23.0,220.0,2,Honolulu,Hawaii,Eastern Illinois,Philadelphia,NFC,351792,15.0,0400000US15,21.304547,-157.855676
Isaac Seumalo,#73,G/ROG,24.0,303.0,2,Honolulu,Hawaii,Oregon State,Philadelphia,NFC,351792,15.0,0400000US15,21.304547,-157.855676
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player data from Yahoo Sports,,,,,,,,,,,,,,,
